customer_id,review_date,model,city,state,mileage,review_title,review_text,overall_rating,price_paid,powertrain_type
1041,2024-02-24,"Luxury S","Phoenix","Arizona",12500,"Desert Luxury","The ventilated seats and tri-zone climate control are perfect for hot days. The auto-parking feature gets confused by diagonal lines in bright sunlight.",3,67000,"Gas"
1042,2024-02-25,"Velocity X","Minneapolis","Minnesota",9400,"Winter Hybrid","The hybrid battery performs well even in extreme cold. Great traction in snow, but the adaptive cruise control gets confused by heavy snowfall.",4,46000,"Hybrid"
1043,2024-02-26,"Sport GT","Portland","Oregon",2200,"Rain or Shine Performance","The handling is incredible even in wet conditions. Dynamic torque vectoring makes cornering fun, but road noise is higher than expected.",4,85000,"Gas"
1044,2024-02-27,"Eco Wave","Miami","Florida",6100,"Tropical Electric","Perfect for city driving with great range in warm weather. The AC is strong enough for Florida summers, but the white interior shows dirt easily.",4,34000,"Electric"
1045,2024-02-28,"Luxury S","San Diego","California",17800,"Coastal Cruiser","Beautiful for long drives along the coast. The adaptive headlights work well on dark canyon roads, but the surround cameras could be higher resolution.",4,69000,"Gas"
1046,2024-02-29,"Velocity X","Chicago","Illinois",8300,"Windy City Hybrid","The hybrid system handles temperature extremes well. Good fuel economy even with heavy city driving, but the infotainment system is sluggish in cold weather.",3,47000,"Hybrid"
1047,2024-03-01,"Sport GT","Seattle","Washington",3300,"Pacific Performance","Great grip in wet conditions. The sport exhaust note is perfect, but the front splitter is too low for steep driveways.",4,86000,"Gas"
1048,2024-03-02,"Eco Wave","Dallas","Texas",5900,"Texas-Sized Range","Plenty of range for daily commuting. Fast charging works well, but the AC could be stronger for summer heat.",4,35000,"Electric"
1049,2024-03-03,"Luxury S","Boston","Massachusetts",14600,"New England Luxury","Perfect blend of comfort and technology. The heated steering wheel is great for winter, but the trunk could be larger for golf clubs.",4,68000,"Gas"
1050,2024-03-04,"Velocity X","Los Angeles","California",7600,"LA Daily Driver","Great for navigating LA traffic. The hybrid system is smooth in stop-and-go conditions, but the lane keeping assist gets confused by faded HOV lane markers.",4,48000,"Hybrid"
